Ano;Unidade Geográfica;Localização;Dependência Administrativa;Taxa de Promoção Total - Ensino Médio;Taxa de Repetência Total - Ensino Médio;Taxa de Evasão Total - Ensino Médio
2018/2019;Brasil;Total;Total;79,5;8,2;9,7
2018/2019;Brasil;Urbana;Total;79,5;8,2;9,7
2018/2019;Brasil;Rural;Total;79,5;7,9;11,1
2018/2019;Brasil;Total;Federal;83,7;12;3,6
2018/2019;Brasil;Total;Estadual;77,4;8,9;10,9
2018/2019;Brasil;Total;Municipal;84;7,5;7
2018/2019;Brasil;Total;Privada;93,2;3,1;3,2
2018/2019;Brasil;Total;Pública;77,7;8,9;10,6
2018/2019;Norte;Total;Total;77,3;9,3;10,9
2018/2019;Norte;Urbana;Total;77,1;9,5;10,8
2018/2019;Norte;Rural;Total;78,8;7,9;11,9
2018/2019;Norte;Total;Federal;83,6;11,7;3,4
2018/2019;Norte;Total;Estadual;75,9;9,7;11,7
2018/2019;Norte;Total;Municipal;82,8;13,1;2,5
2018/2019;Norte;Total;Privada;93,6;2,7;3,1
2018/2019;Norte;Total;Pública;76,1;9,8;11,5
2018/2019;Nordeste;Total;Total;78,8;8,5;10
2018/2019;Nordeste;Urbana;Total;78,9;8,5;9,8
2018/2019;Nordeste;Rural;Total;77,3;8,4;12,3
2018/2019;Nordeste;Total;Federal;78,3;15,7;5
2018/2019;Nordeste;Total;Estadual;77,3;8,8;10,8
2018/2019;Nordeste;Total;Municipal;72,3;10,6;15,4
2018/2019;Nordeste;Total;Privada;92,1;3,6;3,8
2018/2019;Nordeste;Total;Pública;77,3;9,1;10,7
2018/2019;Sudeste;Total;Total;81,8;7,4;8,4
2018/2019;Sudeste;Urbana;Total;81,7;7,5;8,4
2018/2019;Sudeste;Rural;Total;85,4;5,5;7,7
2018/2019;Sudeste;Total;Federal;87,1;9,9;2,4
2018/2019;Sudeste;Total;Estadual;79,5;8,2;9,6
2018/2019;Sudeste;Total;Municipal;88,8;6,1;3,7
2018/2019;Sudeste;Total;Privada;94;2,8;2,6
2018/2019;Sudeste;Total;Pública;79,7;8,2;9,4
2018/2019;Sul;Total;Total;76;9,2;12,9
2018/2019;Sul;Urbana;Total;75,8;9,2;13
2018/2019;Sul;Rural;Total;80,5;7,7;11,1
2018/2019;Sul;Total;Federal;86;10;3,4
2018/2019;Sul;Total;Estadual;73,4;10;14,4
2018/2019;Sul;Total;Municipal;66,7;12,3;18,5
2018/2019;Sul;Total;Privada;92,4;3,1;4,1
2018/2019;Sul;Total;Pública;73,8;10;14,1
2018/2019;Centro-Oeste;Total;Total;79;8,4;9,3
2018/2019;Centro-Oeste;Urbana;Total;79,1;8,3;9,2
2018/2019;Centro-Oeste;Rural;Total;77,4;10,5;10
2018/2019;Centro-Oeste;Total;Federal;87,5;9;2,6
2018/2019;Centro-Oeste;Total;Estadual;76,4;9,3;10,5
2018/2019;Centro-Oeste;Total;Municipal;84,7;6;7,8
2018/2019;Centro-Oeste;Total;Privada;92,5;3,1;3,5
2018/2019;Centro-Oeste;Total;Pública;76,8;9,3;10,2
2018/2019;Rondônia;Total;Total;78,7;6,1;9,6
2018/2019;Rondônia;Urbana;Total;78,3;6,1;9,6
2018/2019;Rondônia;Rural;Total;83,1;5,7;9,6
2018/2019;Rondônia;Total;Privada;92,8;3,4;3
2018/2019;Rondônia;Total;Pública;77,7;6,3;10
2018/2019;Acre;Total;Total;78,5;9,1;8,7
2018/2019;Acre;Urbana;Total;78,6;9,6;7,7
2018/2019;Acre;Rural;Total;78,3;6,7;12,9
2018/2019;Acre;Total;Privada;95,2;2,9;1,5
2018/2019;Acre;Total;Pública;77,8;9,3;9
2018/2019;Amazonas;Total;Total;80,4;8,6;9,6
2018/2019;Amazonas;Urbana;Total;80;9,1;9,4
2018/2019;Amazonas;Rural;Total;82,5;6;10,9
2018/2019;Amazonas;Total;Privada;93,9;2,6;3,4
2018/2019;Amazonas;Total;Pública;80;8,8;9,9
2018/2019;Roraima;Total;Total;77;10,6;8,1
2018/2019;Roraima;Urbana;Total;77,1;10,7;7,8
2018/2019;Roraima;Rural;Total;76,4;10,3;9,6
2018/2019;Roraima;Total;Privada;94,8;3,2;1,3
2018/2019;Roraima;Total;Pública;76;11,1;8,5
2018/2019;Pará;Total;Total;75,3;10;12,7
2018/2019;Pará;Urbana;Total;75,3;10,1;12,7
2018/2019;Pará;Rural;Total;74,9;9,7;14
2018/2019;Pará;Total;Privada;93,5;2,5;3,4
2018/2019;Pará;Total;Pública;73,6;10,7;13,6
2018/2019;Amapá;Total;Total;70,4;13,1;11,2
2018/2019;Amapá;Urbana;Total;70,8;13,1;10,6
2018/2019;Amapá;Rural;Total;67,6;13,5;15,3
2018/2019;Amapá;Total;Privada;95,7;1,6;1,9
2018/2019;Amapá;Total;Pública;68,4;14,1;11,9
2018/2019;Tocantins;Total;Total;80;8,4;8,3
2018/2019;Tocantins;Urbana;Total;80;8,3;8,3
2018/2019;Tocantins;Rural;Total;80,8;9,9;7,9
2018/2019;Tocantins;Total;Privada;92,6;4,6;2,2
