Ano;Unidade Geográfica;Localização;Dependência Administrativa;Taxa de Promoção Total - Ensino Médio;Taxa de Repetência Total - Ensino Médio;Taxa de Evasão Total - Ensino Médio
2019/2020;Brasil;Total;Total;82,7;8,3;6,9
2019/2020;Brasil;Urbana;Total;82,7;8,3;6,8
2019/2020;Brasil;Rural;Total;81,8;8,1;8,7
2019/2020;Brasil;Total;Federal;82,9;12,5;3,9
2019/2020;Brasil;Total;Estadual;81,1;8,9;7,6
2019/2020;Brasil;Total;Municipal;85;7,9;5,9
2019/2020;Brasil;Total;Privada;93,6;3;3
2019/2020;Brasil;Total;Pública;81,1;9;7,5
2019/2020;Norte;Total;Total;77,9;9,9;9,9
2019/2020;Norte;Urbana;Total;77,9;10;9,6
2019/2020;Norte;Rural;Total;78,2;9;11,5
2019/2020;Norte;Total;Federal;80,1;12,5;6,7
2019/2020;Norte;Total;Estadual;76,8;10,2;10,4
2019/2020;Norte;Total;Municipal;59,4;32,3;3,1
2019/2020;Norte;Total;Privada;93,2;3,1;3,4
2019/2020;Norte;Total;Pública;76,9;10,3;10,3
2019/2020;Nordeste;Total;Total;82,4;8,2;7
2019/2020;Nordeste;Urbana;Total;82,5;8,2;6,9
2019/2020;Nordeste;Rural;Total;81,4;8;8,8
2019/2020;Nordeste;Total;Federal;78;16;5,2
2019/2020;Nordeste;Total;Estadual;81,5;8,4;7,4
2019/2020;Nordeste;Total;Municipal;69,9;15,5;13,5
2019/2020;Nordeste;Total;Privada;91,7;3,8;4,1
2019/2020;Nordeste;Total;Pública;81,3;8,7;7,3
2019/2020;Sudeste;Total;Total;85,1;7,5;5,3
2019/2020;Sudeste;Urbana;Total;85;7,6;5,4
2019/2020;Sudeste;Rural;Total;88,8;5,7;4,4
2019/2020;Sudeste;Total;Federal;86,7;10,2;2,5
2019/2020;Sudeste;Total;Estadual;83,2;8,4;6
2019/2020;Sudeste;Total;Municipal;89,5;6,1;3,3
2019/2020;Sudeste;Total;Privada;94,7;2,7;2,2
2019/2020;Sudeste;Total;Pública;83,3;8,4;5,9
2019/2020;Sul;Total;Total;81,7;9;8,2
2019/2020;Sul;Urbana;Total;81,6;9,1;8,2
2019/2020;Sul;Rural;Total;85,1;7,6;6,8
2019/2020;Sul;Total;Federal;85,2;11,4;3
2019/2020;Sul;Total;Estadual;79,8;9,9;9
2019/2020;Sul;Total;Municipal;71,1;11,7;14,9
2019/2020;Sul;Total;Privada;93,2;2,7;3,8
2019/2020;Sul;Total;Pública;79,9;10;8,8
2019/2020;Centro-Oeste;Total;Total;79,7;9;8,9
2019/2020;Centro-Oeste;Urbana;Total;79,9;8,8;8,8
2019/2020;Centro-Oeste;Rural;Total;76,2;11,6;10,7
2019/2020;Centro-Oeste;Total;Federal;87,6;9,5;2,3
2019/2020;Centro-Oeste;Total;Estadual;77,2;9,9;10
2019/2020;Centro-Oeste;Total;Municipal;85,7;6,5;6,9
2019/2020;Centro-Oeste;Total;Privada;92,7;3;3,7
2019/2020;Centro-Oeste;Total;Pública;77,6;9,9;9,7
2019/2020;Rondônia;Total;Total;80,2;6,1;8,3
2019/2020;Rondônia;Urbana;Total;79,9;6,1;8,3
2019/2020;Rondônia;Rural;Total;84,3;5,9;8,3
2019/2020;Rondônia;Total;Privada;93,5;3,3;2,8
2019/2020;Rondônia;Total;Pública;79,3;6,2;8,7
2019/2020;Acre;Total;Total;77,3;13;6,7
2019/2020;Acre;Urbana;Total;76,7;12,9;7,1
2019/2020;Acre;Rural;Total;80;13,2;5,1
2019/2020;Acre;Total;Privada;95,2;2,3;2,4
2019/2020;Acre;Total;Pública;76,6;13,4;6,9
2019/2020;Amazonas;Total;Total;81,1;8,6;9
2019/2020;Amazonas;Urbana;Total;81;9;8,6
2019/2020;Amazonas;Rural;Total;81,5;6,9;10,9
2019/2020;Amazonas;Total;Privada;93;2,5;4,5
2019/2020;Amazonas;Total;Pública;80,6;8,9;9,1
2019/2020;Roraima;Total;Total;77,4;8,9;9,2
