Ano;Unidade Geográfica;Localização;Dependência Administrativa;Taxa de Promoção Total - Ensino Médio;Taxa de Repetência Total - Ensino Médio;Taxa de Evasão Total - Ensino Médio
2017/2018;Brasil;Total;Total;79,5;9,3;8,6
2017/2018;Brasil;Urbana;Total;79,5;9,4;8,5
2017/2018;Brasil;Rural;Total;79,5;8,5;10,3
2017/2018;Brasil;Total;Federal;82;13,4;3,8
2017/2018;Brasil;Total;Estadual;77,5;10,1;9,5
2017/2018;Brasil;Total;Municipal;82,2;8,5;7,5
2017/2018;Brasil;Total;Privada;93,1;3,4;2,9
2017/2018;Brasil;Total;Pública;77,6;10,2;9,4
2017/2018;Norte;Total;Total;76,5;10,1;11
2017/2018;Norte;Urbana;Total;76,3;10,3;10,9
2017/2018;Norte;Rural;Total;78,1;8,4;12,1
2017/2018;Norte;Total;Federal;82,6;13,3;3,2
2017/2018;Norte;Total;Estadual;75,1;10,5;11,8
2017/2018;Norte;Total;Municipal;64,7;11,4;20
2017/2018;Norte;Total;Privada;93,5;3;3,1
2017/2018;Norte;Total;Pública;75,3;10,6;11,6
2017/2018;Nordeste;Total;Total;78,7;9,3;9,4
2017/2018;Nordeste;Urbana;Total;78,7;9,3;9,3
2017/2018;Nordeste;Rural;Total;77,8;9;11,3
2017/2018;Nordeste;Total;Federal;75,7;17,8;5,5
2017/2018;Nordeste;Total;Estadual;77,3;9,7;10,1
2017/2018;Nordeste;Total;Municipal;71,3;12;14,5
2017/2018;Nordeste;Total;Privada;91,6;3,8;4
2017/2018;Nordeste;Total;Pública;77,2;9,9;10
2017/2018;Sudeste;Total;Total;82;8,6;6,9
2017/2018;Sudeste;Urbana;Total;81,9;8,7;6,9
2017/2018;Sudeste;Rural;Total;86,2;5,9;6,7
2017/2018;Sudeste;Total;Federal;86,2;10,8;2,3
2017/2018;Sudeste;Total;Estadual;79,8;9,5;7,8
2017/2018;Sudeste;Total;Municipal;88,3;6,3;4
2017/2018;Sudeste;Total;Privada;93,7;3,2;2,5
2017/2018;Sudeste;Total;Pública;80;9,5;7,7
2017/2018;Sul;Total;Total;76,2;11,5;10,1
2017/2018;Sul;Urbana;Total;76,1;11,6;10,2
2017/2018;Sul;Rural;Total;80,5;9,4;9,2
2017/2018;Sul;Total;Federal;83,1;11,6;4,6
2017/2018;Sul;Total;Estadual;73,5;12,6;11,4
2017/2018;Sul;Total;Municipal;61,2;17;17,9
2017/2018;Sul;Total;Privada;94,1;3,3;2,1
2017/2018;Sul;Total;Pública;73,7;12,6;11,2
2017/2018;Centro-Oeste;Total;Total;78,1;9;9,1
2017/2018;Centro-Oeste;Urbana;Total;78,2;8,9;9
2017/2018;Centro-Oeste;Rural;Total;75,5;11,1;10,9
2017/2018;Centro-Oeste;Total;Federal;87,6;9,1;2,5
2017/2018;Centro-Oeste;Total;Estadual;75,4;9,9;10,3
2017/2018;Centro-Oeste;Total;Municipal;84,6;5,8;8,3
2017/2018;Centro-Oeste;Total;Privada;92;3,7;3,5
2017/2018;Centro-Oeste;Total;Pública;75,8;9,9;10,1
2017/2018;Rondônia;Total;Total;78,7;6,5;9,2
2017/2018;Rondônia;Urbana;Total;78,3;6,7;9,1
2017/2018;Rondônia;Rural;Total;83;4,4;10,1
2017/2018;Rondônia;Total;Privada;93,1;3,5;2,9
